id,name,category,price,currency,image_path,description,brand,available
1,Classic White Sneakers,shoes,59.99,USD,static/images/white-sneakers-1.jpg,Premium white leather sneakers with comfortable sole,StyleCraft,TRUE
2,Black Running Shoes,shoes,89.99,USD,static/images/black-running-shoes-2.jpg,High-performance running shoes with advanced cushioning,SportMax,TRUE
3,Brown Leather Boots,shoes,129.99,USD,static/images/brown-leather-boots-3.jpg,Handcrafted brown leather boots for all occasions,Heritage,TRUE
4,Canvas High-Tops,shoes,199.99,USD,static/images/canvas-high-tops-4.jpg,Classic canvas high-top sneakers in multiple colors,UrbanStep,TRUE
5,Formal Black Oxfords,shoes,69.99,USD,static/images/formal-black-oxfords-5.jpg,Elegant black oxford shoes for formal occasions,ClassicStyle,TRUE
6,Red Athletic Sneakers,shoes,249.99,USD,static/images/red-athletic-sneakers-6.jpg,Vibrant red athletic sneakers for active lifestyle,ActiveWear,TRUE
7,Hiking Boots,shoes,159.99,USD,static/images/hiking-boots-7.jpg,Durable hiking boots with excellent grip and support,TrailMaster,TRUE
8,White Canvas Sneakers,shoes,179.99,USD,static/images/white-canvas-sneakers-8.jpg,Minimalist white canvas sneakers for everyday wear,SimpleStyle,TRUE
9,Blue Denim Sneakers,shoes,79.99,USD,static/images/blue-denim-sneakers-9.jpg,Trendy denim sneakers with unique texture,DenimCraft,TRUE
10,Black Leather Loafers,shoes,99.99,USD,static/images/black-leather-loafers-10.jpg,Sophisticated black leather loafers for business,Executive,TRUE
11,Leather Crossbody Bag,bags,189.99,USD,static/images/leather-crossbody-bag-11.jpg,Elegant leather crossbody bag with adjustable strap,LuxeLeather,TRUE
12,Canvas Tote Bag,bags,149.99,USD,static/images/canvas-tote-bag-12.jpg,Spacious canvas tote bag perfect for daily use,EcoCarry,TRUE
13,Black Backpack,bags,49.99,USD,static/images/black-backpack-13.jpg,Modern black backpack with laptop compartment,TechCarry,TRUE
14,Designer Handbag,bags,89.99,USD,static/images/designer-handbag-14.jpg,Premium designer handbag with gold accents,Elegance,TRUE
15,Travel Duffel Bag,bags,299.99,USD,static/images/travel-duffel-bag-15.jpg,Large capacity duffel bag for travel and gym,Wanderlust,TRUE
16,Minimalist Wallet,bags,119.99,USD,static/images/minimalist-wallet-16.jpg,Slim minimalist wallet with RFID protection,SlimTech,TRUE
17,Vintage Messenger Bag,bags,39.99,USD,static/images/vintage-messenger-bag-17.jpg,Retro messenger bag with brass buckles,Vintage Co,TRUE
18,Evening Clutch,bags,129.99,USD,static/images/evening-clutch-18.jpg,Elegant evening clutch with pearl details,GlamourNight,TRUE
19,Hiking Backpack,bags,79.99,USD,static/images/hiking-backpack-19.jpg,Technical hiking backpack with hydration system,MountainGear,TRUE
20,Laptop Bag,bags,199.99,USD,static/images/laptop-bag-20.jpg,Professional laptop bag with multiple compartments,ProCarry,TRUE
21,Casual T-Shirt,clothing,99.99,USD,static/images/casual-t-shirt-21.jpg,Comfortable cotton t-shirt in various colors,ComfortWear,TRUE
22,Denim Jacket,clothing,29.99,USD,static/images/denim-jacket-22.jpg,Classic blue denim jacket with vintage wash,DenimCraft,TRUE
23,Formal Dress Shirt,clothing,89.99,USD,static/images/formal-dress-shirt-23.jpg,Crisp white dress shirt for professional wear,BusinessPro,TRUE
24,Wool Sweater,clothing,59.99,USD,static/images/wool-sweater-24.jpg,Soft wool sweater perfect for cold weather,CozyKnits,TRUE
25,Summer Dress,clothing,79.99,USD,static/images/summer-dress-25.jpg,Light and airy summer dress with floral pattern,SummerVibes,TRUE
26,Leather Jacket,clothing,69.99,USD,static/images/leather-jacket-26.jpg,Premium black leather jacket with silver zippers,RockStyle,TRUE
27,Yoga Pants,clothing,299.99,USD,static/images/yoga-pants-27.jpg,Stretchy yoga pants with moisture-wicking fabric,ActiveFlex,TRUE
28,Hooded Sweatshirt,clothing,49.99,USD,static/images/hooded-sweatshirt-28.jpg,Comfortable hooded sweatshirt in soft cotton blend,StreetWear,TRUE
29,Chino Pants,clothing,59.99,USD,static/images/chino-pants-29.jpg,Classic chino pants in navy blue,Preppy Style,TRUE
